&#160;	&#160;	Term	Count	Trend
		derbyshire	12	0.003203417,0,0,0,0,0,0,0,0,0
		earlier	12	0.0010678057,0.00022686025,0.000536193,0.0002712968,0,0,0,0,0.0006594131,0
		early	12	0,0.00068058074,0,0.001356484,0.000738189,0,0,0,0.00016485328,0
		esa	12	0.003203417,0,0,0,0,0,0,0,0,0
		fair	12	0,0,0,0.0008138904,0,0,0.0016920473,0,0.0004945598,0.00082485564
		gone	12	0,0.0004537205,0.0002680965,0,0,0,0.0016920473,0,0.0009891196,0
		http	12	0.00053390284,0,0.001072386,0.0005425936,0.000492126,0,0,0,0.00032970656,0
		mackay	12	0,0.002722323,0,0,0,0,0,0,0,0
		occurred	12	0,0,0.00080428954,0,0.000492126,0.00061919505,0.0005640158,0,0,0.0013747594
		outside	12	0.00026695142,0.000907441,0.000536193,0.0005425936,0,0,0.0005640158,0.0018281536,0.00016485328,0
		photographed	12	0.00053390284,0.00022686025,0.00080428954,0.0005425936,0.000246063,0.0012383901,0,0,0,0.0002749519
		place	12	0,0.00022686025,0,0,0.000492126,0.0018575852,0,0.0018281536,0.0008242664,0
		seeing	12	0.0010678057,0.0004537205,0,0.0002712968,0,0,0.0011280316,0,0.00032970656,0.0002749519
		sr	12	0,0,0,0,0,0,0,0,0.0019782393,0
		suddenly	12	0,0.00022686025,0.001072386,0.0002712968,0.000738189,0,0,0,0.00016485328,0.0005499038
		triangular	12	0,0.0004537205,0.0002680965,0,0.000738189,0.0037151703,0,0,0,0
		unit	12	0,0.00068058074,0.00080428954,0.0002712968,0,0,0,0,0,0.0013747594
		ve	12	0.0021356114,0.00022686025,0.0002680965,0,0,0,0.0005640158,0,0.00016485328,0
		web	12	0,0.00022686025,0,0.0008138904,0,0,0.0022560633,0,0.00032970656,0.0005499038
		year	12	0,0.00022686025,0,0,0.000984252,0,0,0,0.00032970656,0.0013747594
		abduction	11	0,0.0004537205,0,0.0016277808,0,0,0,0,0.0004945598,0
		activity	11	0.0021356114,0,0.0002680965,0,0,0,0.0011280316,0,0,0
		aliens	11	0.00026695142,0,0,0.0002712968,0,0,0,0,0.0004945598,0.0016497113
		anne	11	0,0,0,0,0,0,0.006204174,0,0,0
		approximately	11	0,0,0.00080428954,0.0010851872,0.000246063,0.00061919505,0,0.0018281536,0.00016485328,0
		ball	11	0,0,0,0,0.001968504,0,0.0016920473,0,0,0
